name,description,owner,tags,test_data,test_steps,mocking_steps,api,mongo_collections,redis_keys,experiments
Autopay bottom sheet ,This is to set the experiment to show auto pay bottom sheet frequency for DS enabled users,,,test data 1,"test steps a, b c",perform mocking for this ,http//:dev.myjar.com/v1/api,smsDeliveryReports,r:jar:homefeed:card_impression:{user_id}:WEEKLY_MAGIC_CRITICAL_CARD,aotopay-bottomsheet-v2-frequency-control-exp
ds-update-savings-tenure-exp,,,,,,• apis (JSON array or `METHOD /path` per line),,,,
proceed-bottom-sheet-auto-step-up-exp,the bottomsheet experiment to enable auto stepup in the DS update screen ,,,,,"• mongo_collections, redis_keys, experiments (JSON array or newline-delimited)",,,,
auto-step-up-tenure-amount-exp,for changing the tenure,,,,,,,,,
update-higher-mandate-exp,,,,,,,,,,
hash-exp-update-mandate-v4-screen-details-new,,,,,,,,,,
rewards-callout-based-fomo-bs-video-exp,this is to enable the rewards cancellation video ,,,,,,,,,
community-testimonial-variant,To control the video of community precancellation ,,,,,,,,,
homefeed-v2-withdraw-cta-eligibility-exp,To enable or disable the 2 CTA in the locker savemore/withdraw,,,,,,,,,
savings-journey-v2-descale-exp,To disable/ descale saving journey,,,,,,,,,
jar-rewards-group-a-cohorts-earning-offers,To add new offers in the rewards section for production environment,,,,,,,,,
autopay-step-up-eligibility-bypass-exp,,,,,,,,,,
hash-update-mandate-proceed-bottom-sheet-eligibility-exp,,,,,,,,,,
coins-earning-offer-eligible-source-screens-exp,This is to control the rewards earning capability in different pages,,,,,,,,,
coins-as-kyc-verification-reward-eligibility-exp,This is to enable the KYC rewards experiment for users,,,,,,,,,
kyc-nudge-relaxation-percentage-exp-v2,This is to enable or disable the KYC verification bottom sheet on withdrawal page when the user tries to withdraw amount greater than 20,,,,,,,,,
hash-jar-rewards-claim-journey-bonus-offers,Used to create new bonus offers,,,,,,,,,
referrals-landing-invite-ctr,Referrals landing page experiment ,,,,,,,,,
coins-earning-offer-eligible-source-screens-exp,,,,,,,,,,
homefeed-v2-rewards-section-exp,This is to control the variant of the spins or weekly magic in the Rewards section Everyday rewards in homefeed v2,,,,,,,,,
homefeed-v2-quick-action-section-exp,This is to control the quck action variant in homefeed v2,,,,,,,,,
jar-rewards-claim-journey-eligibility,To enable users rewards claim hook ,,,,,,,,,
rewards-onboarding-screen-v2-asset-exp,To enable the asset in the on rewards screen for onboarding video experiment ,,,,,,,,,
rewards-onboarding-screen-v2-eligibility-exp,To enable the onboarding video experiment ,,,,,,,,,
festive-critical-card-v2-exp,To control the festive card experiments ,,,,,,,,,
feature-withdrawal-video-eligibility-exp,To enable the video eligibility for users who are trying to withdraw for 4th time in a week & more than 50 % of the locker amount,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"description, owner, tags (comma-separated)",,,,,,,,,,
